Title,Document Name,Ark Identifier,July,August,September,Total
"Annie Wells Cannon papers",uum_accn1240.xml,80444/xv32946,11,4,18,33
"William Greenwood papers",uum_ms0195.xml,80444/xv23352,9,17,7,33
"Bennion family papers",uum_ms0251.xml,80444/xv98718,14,10,9,33
"Ismael Rojas independent film collection",uum_a0768.xml,80444/xv53826,10,14,9,33
"Wallace F. Bennett papers",uum_ms0290.xml,80444/xv62390,5,17,11,33
"Greek archives",uum_ms0530.xml,80444/xv89364,12,8,12,32
"Utah ballet archives",uum_ms0247.xml,80444/xv09997,16,9,7,32
"Maurice Abravanel papers",uum_ms0517.xml,80444/xv99697,6,10,16,32
"Golden Spike Centennial records",uum_accn0441.xml,80444/xv71569,9,14,9,32
"Thomas Leiper Kane papers",uum_ms0227.xml,80444/xv05563,15,11,6,32
"Frederick Stewart Buchanan photograph collection",uum_p0573.xml,80444/xv45852,6,14,12,32
"Wasatch Mountain Club photograph collection",uum_p0004.xml,80444/xv03356,13,10,9,32
"Italian oral history project audio recordings",uum_a0305.xml,80444/xv39376,9,14,9,32
"Wick R. Miller papers",uum_accn1916.xml,80444/xv06176,14,16,2,32
"Emmeline B. Wells diaries",uum_accn1520.xml,80444/xv72198,15,13,4,32
"Aziz Suryal Atiya papers",uum_accn0480.xml,80444/xv99560,4,11,16,31
"Marilyn Bradshaw Reagan papers",uum_accn2640.xml,80444/xv44702,10,11,10,31
"C.W. Carter photograph collection",uum_p0366.xml,80444/xv86685,12,13,6,31
"Jan Andrews independent film collection",uum_a0760.xml,80444/xv79214,8,18,5,31
"Sterling McMurrin audio collection",uum_a0003.xml,80444/xv30386,2,8,20,30
"Nauvoo Masonic Lodge minutes",uum_accn2340.xml,80444/xv03271,15,6,9,30
"Zuni land claims cases records",uum_accn1200.xml,80444/xv28125,11,10,9,30
"Charles Kelly papers",uum_ms0100.xml,80444/xv66253,9,12,9,30
"Francis Armstrong photograph collection",uum_p0526.xml,80444/xv52618,7,19,4,30
"J. Calvin Giddings papers",uum_ms0430.xml,80444/xv23925,17,6,7,30
"Frederick Stewart Buchanan papers",uum_accn0379.xml,80444/xv81231,8,7,14,29
"Wesley Pratt Larsen papers",uum_accn1432.xml,80444/xv93395,8,17,4,29
"Marie Barker Nelson music recordings",uum_a0437.xml,80444/xv16058,12,11,6,29
"Hatch River Expeditions video collection",uum_a0529.xml,80444/xv65808,5,13,11,29
"George Whitaker autobiography",uum_ms0278.xml,80444/xv10131,5,13,11,29
"Carbon County oral history project",uum_accn1479.xml,80444/xv38397,7,9,13,29
"Ramiro Cortés music recordings",uum_a0264.xml,80444/xv18325,21,2,6,29
"Marvin A. Melville family home movies",uum_a1128.xml,80444/xv91687,4,8,17,29
"LandSpeed Productions Bonneville Salt Flats racing films",uum_a0078.xml,80444/xv97708,6,14,9,29
"John Cheney family papers",uum_accn0071.xml,80444/xv90518,11,12,6,29
"Webster Elementary School photograph collection",uum_p0321.xml,80444/xv23916,5,10,14,29
"University of Utah Archival photograph collection",uum_p0305.xml,80444/xv28308,14,6,8,28
"S. Lyman Tyler papers",uum_ms0042.xml,80444/xv58050,10,9,9,28
"John W. Sugden papers",uum_accn2720.xml,80444/xv23205,15,5,8,28
"Joseph Don Carlos Young family papers",uum_ms0465.xml,80444/xv51797,11,5,12,28
"Dorothee Kocks oral histories",uum_accn1594.xml,80444/xv49346,9,16,3,28
"Calumet Mining and Refining Company records",uum_accn2622.xml,80444/xv89157,7,13,8,28
"Barney B. Clark papers",uum_ms0670.xml,80444/xv15817,16,5,7,28
"Albert Carrington papers",uum_ms0549.xml,80444/xv68994,5,10,12,27
"Ross C. "Rocky" Anderson papers",uum_accn2460.xml,80444/xv44873,10,7,10,27
"Southeastern Utah oral histories",uum_accn1868.xml,80444/xv30773,4,8,15,27
"Lisle Brown papers",uum_ms0570.xml,80444/xv82040,0,3,24,27
"Ralph Vary Chamberlin papers",uum_accn0907.xml,80444/xv30163,7,8,12,27
"Brigham Young University oral history projects",uum_ms0268.xml,80444/xv03369,6,9,12,27
"Utah Salt Flats Racing Association records",uum_accn2304.xml,80444/xv10513,0,23,4,27
"MX Information Center records",uum_ms0527.xml,80444/xv63006,7,10,10,27
"Native American photograph collection",uum_p0064.xml,80444/xv25430,9,12,6,27
"Oliver Lee Robinson diary",uum_ms0024.xml,80444/xv21746,16,5,6,27
