Title,Document Name,Ark Identifier,July,August,September,Total
"Central Lutheran Church, Spokane, Washington, Records",opvelca7a5_399.xml,80444/xv67971,1,4,0,5
"Our Savior's Lutheran Church, Prineville, Oregon, Records",opvelca7a4_229.xml,80444/xv73263,0,2,3,5
"Gloria Dei Lutheran Church, Lynnwood, Washington, Records",opvelca7a5_252.xml,80444/xv64501,1,2,2,5
"Peace Lutheran Church, Pendleton, Oregon, Records",opvelca7a4_207.xml,80444/xv28344,3,0,2,5
"Local Histories: Clallam County, Washington (State)",opvnpc1_4.xml,80444/xv45843,0,2,3,5
"Emmaus Lutheran Church, Eugene, Oregon, Records",opvelca7a4_174.xml,80444/xv67858,4,1,0,5
"Our Savior Lutheran Church, Issaquah, Washington, Records",opvelca7a5_310.xml,80444/xv25137,2,0,3,5
"Our Savior's Lutheran Church, Chester, Montana, Records",opvelca7a3_75.xml,80444/xv48141,0,3,2,5
"Johnson Family Correspondence",opvsiemss_36.xml,80444/xv42858,5,0,0,5
"First English Lutheran Church, Billings, Montana, Records",opvelca7a3_63.xml,80444/xv30212,0,0,5,5
"New Life Lutheran Church, Florence, Oregon, Records",opvelca7a4_179.xml,80444/xv36114,3,2,0,5
"Grace Lutheran Church, Ryegate, Montana, Records",opvelca7a3_128.xml,80444/xv27593,4,1,0,5
"St. Olaf Lutheran Church, Ledger, Montana, Records",opvelca7a3_110.xml,80444/xv29998,3,0,2,5
"Key Peninsula Lutheran Church, Lakebay, Washington, Records",opvelca7a5_322.xml,80444/xv96325,0,2,3,5
"Thorsteinson Family History",opvsiemss_126.xml,80444/xv10354,3,2,0,5
"Sigdalslaget Album",opvsiemss_10.xml,80444/xv57376,1,2,2,5
"King of Kings Lutheran Church, Milwaukie, Oregon, Records",opvelca7a4_200.xml,80444/xv89093,0,1,4,5
"Spanaway Lutheran Church, Spanaway, Washington, Records",opvelca7a5_397.xml,80444/xv53536,3,0,2,5
"Joy Lutheran Church, Fairbanks, Alaska, Records",opvelca7a1_24.xml,80444/xv10324,5,0,0,5
"Bethlehem Lutheran Church, Spokane, Washington, Records",opvelca7a5_398.xml,80444/xv54626,5,0,0,5
"Dagny Unsgaard Nygaard--Papers",opvsiemss_20.xml,80444/xv32000,0,2,3,5
"Grace Lutheran Church, Sidney, Montana, Records",opvelca7a3_133.xml,80444/xv97668,0,2,3,5
"Jonas Olson Family History",opvsiemss_11.xml,80444/xv71844,0,1,4,5
"St. Mark Lutheran Church, Salem, Oregon, Records",opvelca7a4_237.xml,80444/xv20745,4,0,1,5
"Esther Nelson Berglund Family History",opvsiemss_125.xml,80444/xv16873,3,2,0,5
"Augustana Lutheran Church, Portland, Oregon, Records",opvelca7a4_208.xml,80444/xv30175,0,2,3,5
"Newspaper Clippings Collection",opvsiemss_71.xml,80444/xv93844,5,0,0,5
"Our Saviour's Lutheran Church, Bremerton, Washington, Records",opvelca7a5_274.xml,80444/xv29946,4,1,0,5
"St. Paul Lutheran Church, Ontario, Oregon, Records",opvelca7a4_204.xml,80444/xv75250,0,0,4,4
"Our Saviour's Lutheran Church, Brockton, Montana, Records",opvelca7a3_71.xml,80444/xv10971,0,0,4,4
"Lokensgard Family History",opvsiemss_121.xml,80444/xv97979,2,1,1,4
"First Lutheran Church, Kennewick, Washington, Records",opvelca7a5_313.xml,80444/xv49899,0,0,4,4
"University Lutheran Church, Seattle, Washington, Records",opvelca7a5_388.xml,80444/xv61038,1,3,0,4
"Immanuel Lutheran Church, Joplin, Montana, Records",opvelca7a3_105.xml,80444/xv26504,0,2,2,4
"Good Shepherd Lutheran Church, Albany, Oregon, Records",opvelca7a4_146.xml,80444/xv52853,0,0,4,4
"Peace Lutheran Church, Burns, Oregon, Records",opvelca7a4_159.xml,80444/xv28881,0,4,0,4
"Trinity Lutheran Church, Wibaux, Montana, Records",opvelca7a3_142.xml,80444/xv97177,4,0,0,4
"Albina and Bethesda Lutheran Church Records",opvelca7_5xml.xml,80444/xv16776,1,0,3,4
"Trinity Lutheran Church, Culbertson, Montana, Records",opvelca7a3_77.xml,80444/xv69537,0,1,3,4
"Grace Lutheran Church, Vale, Oregon, Records",opvelca7a4_247.xml,80444/xv78909,3,0,1,4
"Faith Lutheran Church, North Bend, Oregon, Records",opvelca7a4_203.xml,80444/xv94552,0,4,0,4
"Fairbanks Lutheran Church, Fairbanks, Alaska, Records",opvelca7a1_9.xml,80444/xv07351,4,0,0,4
"Emmanuel Lutheran Church, Moscow, Idaho, Records",opvelca7a2_44.xml,80444/xv61770,0,3,1,4
"Zion Lutheran Church, Redmond, Oregon, Records",opvelca7a4_230.xml,80444/xv40655,0,2,2,4
"Peninsula Lutheran Church, Gig Harbor, Washington, Records",opvelca7a5_305.xml,80444/xv02566,4,0,0,4
"Nativity Lutheran Church, Bend, Oregon, Records",opvelca7a4_156.xml,80444/xv62701,2,0,2,4
"Faith Lutheran Church, Salem, Oregon, Records",opvelca7a4_233.xml,80444/xv88534,0,3,1,4
"Family of God Lutheran Church Records",opvelca7_7.xml,80444/xv48240,0,0,4,4
"Schnackenberg, Walter C.papers",opvarchrg6.4.1.xml,80444/xv38012,3,0,1,4
"Holy Trinity Lutheran Church, Port Angeles, Washington, Records",opvelca7a5_351.xml,80444/xv43948,4,0,0,4
