Title,Document Name,Ark Identifier,July,August,September,Total
"Albany College Literary Society Collection",olpa077alb.xml,80444/xv57287,0,0,1,1
"Ramsey (Jarold) Collection",olpb137ram.xml,80444/xv34768,0,0,1,1
"Stafford (William E.) Archives Series 8, Sub-Series 7: One-of-a-Kind Art Books",olpb125sta.xml,80444/xv61074,0,0,1,1
"Williams (Alfred M.) Administrative Records of Albany College",olpa070wil.xml,80444/xv26724,0,0,1,1
"Hampton-Gray (Elisabeth) Collection",olpa091gra.xml,80444/xv08407,1,0,0,1
"Arion Literary Society Collection",olpa078ari.xml,80444/xv71575,0,0,1,1
"Hughes (Ted) Correspondence to Donya Feuer",olpb093hug.xml,80444/xv50601,0,0,1,1
"Rogue River Canyon Lantern Slide Collection",olpb055rog.xml,80444/xv58480,0,0,0,0
"Greetings from Oregon Photograph Collection",olpb159gre.xml,80444/xv66787,0,0,0,0
"Stafford (William E.) Archives Series 5, Sub-Series 4: Audio Recordings of Others Reading Stafford's Poems Poetry",olpb114sta.xml,80444/xv21585,0,0,0,0
"Unknown",olpb038nwc.xml.deleted,80444/xv41888,0,0,0,0
"Wendlick Collection of Portland (Ore.) Photographs",olpb031por.xml,80444/xv01528,0,0,0,0
"Geary (Edward R.) Administrative Records of Albany College",olpa066gea.xml,80444/xv37771,0,0,0,0
"Hesperian Society Collection",olpa080hes.xml,80444/xv94711,0,0,0,0
"Early Oregon Ephemera Collection",olpb076ore.xml,80444/xv62789,0,0,0,0
"Danforth Associate Program Northwest Region Records",olpb027dan.xml,80444/xv38427,0,0,0,0
,,Totals,975,889,906,2770
