Title,Document Name,Ark Identifier,July,August,September,Total
"Groenen (Cornelius) Papers",wea_spc9830206.xml,80444/xv67770,0,0,0,0
"Eastern Washington Friends of Music Trust Records",wea_spc9830209.xml,80444/xv81222,0,0,0,0
"Kidd (William) Papers",wea_spc9810146.xml,80444/xv65368,0,0,0,0
"Hansen (Donald A.) Papers",wea_spc9860250.xml,80444/xv82983,0,0,0,0
"Sidmondet (Helen) Papers",wea_spc9860253.xml,80444/xv62454,0,0,0,0
"International Lutheran Marriage Encounter Records",wea_spc9890306.xml,80444/xv50369,0,0,0,0
"Stevens (William) Papers",wea_spc9800121.xml,80444/xv42358,0,0,0,0
"Gates (J.M.) Mrs., Papers",wea_spc9810144.xml,80444/xv72772,0,0,0,0
"Misner Family Collection",wea_spc9790093.xml,80444/xv72024,0,0,0,0
"Eastern Washington University Faculty Wives/Faculty Women Records",wea_spc9910348.xml,80444/xv53414,0,0,0,0
"Odessa High School (Wash.) Papers",wea_spc9840222.xml,80444/xv59075,0,0,0,0
"Battien (Pauline) Papers",wea_spc9800127.xml,80444/xv24270,0,0,0,0
"Oral History Interview with James Ralph Jones",wea_spc9780072.xml,80444/xv95913,0,0,0,0
"Anderson (Louise) Diplomas and Medallion",wea_spc9790096.xml,80444/xv78137,0,0,0,0
"Saylor (Louise) Papers",wea_spc9840224.xml,80444/xv33987,0,0,0,0
"Cushing (Caleb) Papers",wea_spc9970463.xml,80444/xv93606,0,0,0,0
"Sutton (William James) Papers",wea_spc9790098.xml,80444/xv57562,0,0,0,0
"Beal (Bruce Douglas) Diazotype Print Collection",wea_spc9900323.xml,80444/xv29660,0,0,0,0
"Sutherland (George W.) Papers",wea_spc9970456.xml,80444/xv15640,0,0,0,0
"Oakshott (Thomas) Papers",wea_spc9970450.xml,80444/xv08386,0,0,0,0
"Smith (A. Lamont) Papers",wea_spc9840215.xml,80444/xv23577,0,0,0,0
"Newell (Winifred) Papers",wea_spc9970467.xml,80444/xv16329,0,0,0,0
"Ritz (Philip) Papers",wea_spc9970470.xml,80444/xv50524,0,0,0,0
"Barr (William) Papers",wea_spc9810141.xml,80444/xv28314,0,0,0,0
"Emerson (Stephen) Papers",wea_spc9950375.xml,80444/xv18414,0,0,0,0
"Franklin (Joseph) Papers",wea_spc9840226.xml,80444/xv79211,0,0,0,0
"Baldwin (Charles M.) Papers",wea_spc9950389.xml,80444/xv67810,0,0,0,0
"McKereghan (Donna) Papers",wea_spc9920356.xml,80444/xv10348,0,0,0,0
"Leichman (Howard) Papers",wea_spc9900315.xml,80444/xv88647,0,0,0,0
"Northwest Regional Foundation Records",wea_spc9840228.xml,80444/xv65365,0,0,0,0
"Slater (William) Oral History",wea_spc9950401.xml,80444/xv47509,0,0,0,0
"Lauritsen (Frederick) Papers",wea_spc9810145.xml,80444/xv26388,0,0,0,0
"Tracy (Joan I.) Papers",wea_spc9880298.xml,80444/xv34353,0,0,0,0
"Clumpner (Mick) Papers",wea_spc9870277.xml,80444/xv23458,0,0,0,0
"Heinzen (Richard) Photograph Collection",wea_spc9870279.xml,80444/xv97674,0,0,0,0
"Hartman (Sara M.) Papers",wea_spc9970465.xml,80444/xv96023,0,0,0,0
"Reimers (Henry L.) Papers",wea_spc9970469.xml,80444/xv44192,0,0,0,0
"Inland Empire Steam and Gas Buffs Records",wea_spc9810139.xml,80444/xv11575,0,0,0,0
"Winans (W.P.) Papers",wea_spc9970460.xml,80444/xv38162,0,0,0,0
"Patterson (Howard W.) photograph Collection",wea_spc9820179.xml,80444/xv72979,0,0,0,0
"Emmanuel Lutheran Church Records",wea_spc9870283.xml,80444/xv67633,0,0,0,0
"Retired Railway Mail Clerks Records",wea_spc9850236.xml,80444/xv67822,0,0,0,0
"Council of Spokane Area Libraries Records",wea_spc9950383.xml,80444/xv19735,0,0,0,0
"Rowles (William L.) Papers",wea_spc9790090.xml,80444/xv00964,0,0,0,0
"Foreman (Lovinia May) Papers",wea_spc9890313.xml,80444/xv80273,0,0,0,0
"Barry (James Neilson) Papers",wea_spc9970435.xml,80444/xv31503,0,0,0,0
"Patsy Manson Cheney State Normal School Class Ring",wea_spc9830189.xml,80444/xv09744,0,0,0,0
"Oliphant (J. Orin) Papers",wea_spc9970451.xml,80444/xv84921,0,0,0,0
"Giles (Raymond M.) Papers",wea_spc9830196.xml,80444/xv13757,0,0,0,0
"Robertson (George T.) Papers",wea_spc9810148.xml,80444/xv68652,0,0,0,0
"Davis(Lucille) Papers",wea_spc9830204.xml,80444/xv87487,0,0,0,0
"Drake (Elmer) Journal",wea_spc9810134.xml,80444/xv82022,0,0,0,0
"Kingston (Ceylon S.) Papers",wea_spc9800019.xml,80444/xv70498,0,0,0,0
"Gilbert (Reta) Papers",wea_spc9810142.xml,80444/xv38613,0,0,0,0
"Geyer (Charles A.) Papers",wea_spc9970464.xml,80444/xv73297,0,0,0,0
"Crockett (Edwin) Papers",wea_spc9970440.xml,80444/xv52044,0,0,0,0
"Fahey (John) Papers",wea_spc9760030.xml,80444/xv06121,0,0,0,0
"Hossom (H. Kenneth) Papers",wea_spc9760027.xml,80444/xv48184,0,0,0,0
"Brosh (Merle A.) Papers",wea_spc9970437.xml,80444/xv16577,0,0,0,0
"Dustin (H. Antoinette) letter",wea_spc9820158.xml,80444/xv62036,0,0,0,0
"Craig (George E.) Papers",wea_spc9970439.xml,80444/xv04159,0,0,0,0
"Cheney Family Papers",wea_spc9820168.xml,80444/xv49133,0,0,0,0
"Booth Family History",wea_spc9800113.xml,80444/xv95443,0,0,0,0
,,Totals,110,177,63,350
