Title,Document Name,Ark Identifier,July,August,September,Total
"Wetjen (Albert Richard) papers",oru_a130.xml,80444/xv15991,2,6,0,8
"Long (Eleanor D.) papers",oru_coll219.xml,80444/xv94366,2,3,3,8
"McCutcheon (John) cartoons",oru_a233.xml,80444/xv98452,6,0,2,8
"Barclay (Forbes) correspondence",oru_a008.xml,80444/xv07687,1,7,0,8
"Combellack (Frederick Malcolm) faculty papers",oru_ua226.xml,80444/xv32788,6,2,0,8
"Crouch (Washington H.) commission to captain",oru_ca1856apr18.xml,80444/xv20666,3,0,5,8
"Loomis (Daniel Pittinger) papers",oru_ax413.xml,80444/xv75897,8,0,0,8
"Beta Phi Mu. University of Oregon Chapter records",oru_ua134.xml,80444/xv56536,0,4,4,8
"University of Oregon Medical, Nursing, and Dental Schools records",oru_ua184.xml,80444/xv73706,2,1,5,8
"Nesmith (James Willis) correspondence",oru_sfm186.xml,80444/xv73730,0,8,0,8
"Hayes (Barbara M.) biography of John David Hayes",oru_a296.xml,80444/xv91098,8,0,0,8
"Umpqua County, Or., Elkton Precinct records",oru_ca1855june4.xml,80444/xv97326,8,0,0,8
"Oregon Commonwealth Federation Records",oru_bx033.xml,80444/xv09991,0,8,0,8
"Wilson (Hubert Wilson) papers",oru_a209.xml,80444/xv89865,5,3,0,8
"Institute of Molecular Biology records",oru_ua169.xml,80444/xv83251,0,4,4,8
"Wheeler (Howard Duryee) autobiography",oru_a197.xml,80444/xv01693,0,3,5,8
"Dunn (F. B.) General Store ledger and day book",oru_b022.xml,80444/xv78167,0,0,8,8
"Bean (Harold C.) papers",oru_coll400.xml,80444/xv19784,0,2,6,8
"Cleator (Frederick William) papers",oru_ax013.xml,80444/xv75931,2,3,3,8
"Campbell (John F.) letter",oru_ca1863aug6.xml,80444/xv13238,6,0,2,8
"Community Action Program records",oru_ua140.xml,80444/xv11569,0,4,4,8
"Staggs (Ira) papers",oru_ax317.xml,80444/xv95556,0,1,7,8
"Fenton (Katherine Lucas) scrapbook",oru_caf367.xml,80444/xv03814,2,4,2,8
"George (Melvin Clarke) papers",oru_ax136.xml,80444/xv73837,4,1,3,8
"Condon (Thomas) papers",oru_a022.xml,80444/xv65438,3,5,0,8
"Asian Studies Program records",oru_ua138.xml,80444/xv93786,0,4,4,8
"Larcom (Lucy) letter",oru_ca1884sept15.xml,80444/xv73791,3,0,5,8
"Pennoyer (Sylvester) scrapbook",oru_cap834.xml,80444/xv70068,5,0,3,8
"Scherf (Margaret) Papers",oru_ax666.xml,80444/xv67731,6,1,1,8
"Clarke (James Freeman) papers",oru_ca1876may8.xml,80444/xv77200,8,0,0,8
"Kafoury (Gretchen) papers",oru_coll353.xml,80444/xv47219,2,1,5,8
"Department of Foreign Languages records",oru_ua195.xml,80444/xv28417,7,0,0,7
"Fuecker (Fred Michael) papers",oru_ax514.xml,80444/xv85681,3,3,1,7
"First Christian Church (Albany, OR), Christian Endeavor Society records",oru_b003.xml,80444/xv87789,7,0,0,7
"Bendick (Robert) Papers",oru_ax505.xml,80444/xv74908,2,4,1,7
"Villard House account book",oru_b126.xml,80444/xv11239,4,3,0,7
"J. E. Haseltine and Co. records",oru_bx193.xml,80444/xv43588,5,0,2,7
"Hermann (Binger) letter",oru_ca1886jan29.xml,80444/xv26876,2,0,5,7
"Thebaud (Joseph V.) papers",oru_a258.xml,80444/xv60534,7,0,0,7
"International Military Tribunal for Far East records of the Sadao Araki military tribunal",oru_bx084.xml,80444/xv93579,0,2,5,7
"Savery (Constance Winifred) papers",oru_a309.xml,80444/xv39859,7,0,0,7
"Olympia Light and Power Co. records",oru_bx089.xml,80444/xv69332,0,3,4,7
"Baker, Fentress & Company records",oru_bx093.xml,80444/xv13217,4,0,3,7
"Denny (Owen Nickerson) correspondence",oru_a189.xml,80444/xv73397,3,2,2,7
"J.W. Sweeney Construction Company photographs",oru_ph317.xml,80444/xv56448,0,2,5,7
"Preston (John B.) letter to Daniel Lownsdale",oru_ca1852dec29.xml,80444/xv81594,0,0,7,7
"Mahaffie (Charles) Interstate Commerce Commission memoranda",oru_ax416.xml,80444/xv09042,1,3,3,7
"Livermore (Lot) papers",oru_coll324.xml,80444/xv65383,3,3,1,7
"Rough and Ready Quartz Mining Company Records",oru_b060.xml,80444/xv79351,0,3,4,7
"Burnett (Josiah A.) papers",oru_a014.xml,80444/xv20501,3,3,1,7
"Odell (William Holman) letter",oru_ca1871apr28.xml,80444/xv41925,1,3,3,7
"KOAC Radio Station (University of Oregon) records",oru_ua193.xml,80444/xv93356,6,1,0,7
"Sachs Bros. and Reames Bros. accounts ledger",oru_b142.xml,80444/xv78469,0,4,3,7
"Loyal Legion of Loggers and Lumbermen records",oru_bx040.xml,80444/xv95785,0,7,0,7
"Taylor Family papers",oru_a121.xml,80444/xv56096,0,5,2,7
"Douglas (Wallace Ulysses) papers",oru_ax522.xml,80444/xv62243,0,2,5,7
"Oregon Infantry. 1st Regiment, Company B records",oru_bx037.xml,80444/xv87478,7,0,0,7
"Esterly (Henry Minor) papers",oru_ax684.xml,80444/xv67196,6,0,1,7
"Polhemus (James Suydam) papers",oru_ax300.xml,80444/xv99456,5,2,0,7
"Portland Reporter records",oru_coll405.xml,80444/xv38079,3,0,4,7
"Register-Guard records",oru_bx007.xml,80444/xv32446,3,0,4,7
"MacPherson (Hector) papers",oru_ax156.xml,80444/xv03845,5,1,1,7
"McClure (John) land sale agreement",oru_ca1853oct27.xml,80444/xv53744,0,3,4,7
"Blackman (Henry) bond of indemnity",oru_ca1887may20.xml,80444/xv38812,0,3,4,7
"Win McCormack collection on Rajneeshpuram",oru_coll406.xml,80444/xv54486,4,0,3,7
"Daugherty (Charles Michael) Papers",oru_ax748.xml,80444/xv55417,1,4,2,7
"Belsky (Joy) papers",oru_coll332.xml,80444/xv14651,0,2,5,7
"Dwiggins (Clare Victor) papers",oru_ax526.xml,80444/xv28155,4,3,0,7
"Roblin (Charles E.) correspondence",oru_ax166.xml,80444/xv13150,6,1,0,7
"Carlyle (Elizabeth) letters from China",oru_a165.xml,80444/xv90249,6,1,0,7
"Bulfinch (Charles F.) papers",oru_a252.xml,80444/xv21554,2,2,3,7
"Dixon (Algernon Cyrus) Papers",oru_ax196.xml,80444/xv56779,0,2,5,7
"Eugene Shakespeare Club records",oru_coll227.xml,80444/xv23968,0,2,5,7
"Nye (Laurence E.) papers",oru_ax569.xml,80444/xv06686,7,0,0,7
"Stern (Philip Van Doren) papers",oru_ax803.xml,80444/xv00030,6,1,0,7
"Teagarden (Lyrel) Papers",oru_ax749.xml,80444/xv70120,1,6,0,7
"United States Spruce Production Corporation, Spruce Products Division records",oru_bx088.xml,80444/xv84082,3,3,1,7
"Dolph (Joseph N.) letter to J. D. Lee",oru_ca1884may1.xml,80444/xv12167,3,2,2,7
"Abilene and Southern Railway Co. Defendant records",oru_bx153.xml,80444/xv62054,0,1,6,7
"Pacific Stationery and Print Company records",oru_bx021.xml,80444/xv12612,3,0,4,7
"Geiger (William) letters",oru_a041.xml,80444/xv61734,0,2,5,7
"Speare (Dorothy) papers",oru_ax366.xml,80444/xv91101,0,1,6,7
